"Registered Political Party - English","Registered Political Party - French","Abbreviation - English","Abbreviation - French","Registration Date","President","Leader","Address","Phone","Fax","Email","Web Address","Association Electoral District",
"Canadians' Choice Party","Le Parti du choix des Canadiens et Canadiennes","CCP","PCCC","September 12, 2011","Bahman Yazdanfar","Bahman Yazdanfar","1-927 DANFORTH AVE TORONTO ON M4J1L8","(647) 853-8858","","canadianschoice@gmail.com","http://www.canadianschoice.com","",
"Communist Party of Canada (Ontario)","Parti communiste du Canada (Ontario)","Communist","Communiste","September 03, 1975","Dave McKee","Drew Garvie","290A Danforth Avenue Toronto ON M4K 1N6","(416) 469-2446","(416) 469-4063","info@communistpartyontario.ca","http://www.communistpartyontario.ca","110 - Toronto—Danforth",
"Electoral Reform Party","Parti Réforme Électorale","Electoral Reform Party","Parti Réforme Électorale","May 09, 2022","Peter House","Peter House","1557 Camelford Rd Mississauga ON L5J 3C8","(647) 781-7383","","peter.house@electoralreformparty.ca","https://electoralreformparty.ca/","",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","011 - Brampton South",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","026 - Elgin—Middlesex—London",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","034 - Haldimand—Norfolk",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","039 - Hamilton West—Ancaster—Dundas",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","053 - London—Fanshawe",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","054 - London North Centre",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","055 - London West",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","070 - Niagara West",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","077 - Oshawa",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","111 - Toronto—St. Paul's",
"Freedom Party of Ontario","Parti de la Liberté - Ontario","Freedom Party of Ontario","Parti de la Liberté - Ontario","November 26, 1980","Robert Metz","Paul McKeever","PO Box 43008 RPO Highland London ON N6J0A7","(519) 681-3999","(519) 681-2857","feedback@freedomparty.on.ca","http://www.freedomparty.on.ca","116 - Whitby",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","001 - Ajax",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","002 - Algoma—Manitoulin",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","003 - Aurora—Oak Ridges—Richmond Hill",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","004 - Barrie—Innisfil",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","005 - Barrie—Springwater—Oro-Medonte",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","006 - Bay of Quinte",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","007 - Beaches—East York",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","008 - Brampton Centre",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","009 - Brampton East",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","010 - Brampton North",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","011 - Brampton South",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","012 - Brampton West",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","013 - Brantford—Brant",
"Green Party of Ontario","Parti Vert de l'Ontario","Green Party of Ontario GPO","Parti Vert de l'Ontario PVO","July 04, 1984","Ard Van Leeuwen","Mike Schreiner","PO Box 1132 STN F TORONTO ON M4Y 2T8","(416) 977-7476","(416) 977-5476","admin@gpo.ca","http://www.gpo.ca","014 - Bruce—Grey—Owen Sound",
